"Variable","Importance"
"RTCA",0.000361588618850028
"MIR553",0
"CDC14A",0
"GPR88",0
"VCAM1",0
"EXTL2",0
"SLC30A7",0
"DPH5",0
"S1PR1",0.000477919383521044
"OLFM3",-0.00048681090693539
"COL11A1",0
"RN7SKP285",0
"AMY1A",0.000321576763485478
"AMY1B",0
"AMY1C",0
"AMY2A",0
"AMY2B",0
"RNPC3",0
"PRMT6",0
"NTNG1",0
"VAV3",0
"SLC25A24",3.63070539419086e-05
"NBPF4",0.000446799051570835
"SLC25A24P1",0.000209691760521636
"NBPF5P",0
"NBPF6",3.55660936573798e-05
"FAM102B",0
"HENMT1",0
"PRPF38B",0
"FNDC7",0
"STXBP3",0.000363070539419087
"AKNAD1",0.000268968583283935
"SPATA42",0
"GPSM2",0
"CLCC1",0
"WDR47",4.29756965026673e-05
"TAF13",0
"C1orf194",0
"KIAA1324",0
"SCARNA2",0.000420865441612329
"TMEM167B",0
"SARS",0
"CELSR2",0
"PSRC1",0
"MYBPHL",0
"SORT1",0
"PSMA5",-0.000333432128037937
"SYPL2",0
"ATXN7L2",0
"CYB561D1",0
"AMIGO1",0
"GPR61",0
"GNAI3",0
"RNU6V",0
"MIR197",0
"GNAT2",-0.000300829875518672
"AMPD2",-0.000369739181979846
"GSTM1",0
"GSTM2",0.000972880853586248
"GSTM4",0
"GSTM5",0
"GSTM3",0
"EPS8L3",0
"CSF1",0
"AHCYL1",0
"STRIP1",0
"ALX3",0
"UBL4B",0
"SLC6A17",0
"KCNC4",-4.44576170717248e-06
"RBM15",0
"SLC16A4",6.74273858921159e-05
"LAMTOR5",0
"PROK1",0
"CYMP",0
"KCNA10",0
"KCNA2",0
"KCNA3",0
"CD53",0.000464582098399525
"LRIF1",0.000127445168938946
"RNA5SP54",0.000399377593360996
"DRAM2",0.000258595139300534
"CEPT1",-0.000626852400711321
"DENND2D",0
"CHI3L2",0
"CHIAP2",0
"CHIA",0.000274155305275637
"PIFO",0
"PGCP1",0
"OVGP1",2.81564908120924e-05
"WDR77",-0.000113366923532898
"ATP5F1",0.000133372851215176
"C1orf162",0
"ADORA3",0
"RAP1A",0
"FAM212B",0.000228215767634855
"DDX20",0
"KCND3",0
"CTTNBP2NL",1.48192056905749e-05
"WNT2B",0
"ST7L",0.000257854179016005
"CAPZA1",0
"MOV10",0
"RHOC",0.000387522228808536
"PPM1J",0
"FAM19A3",-0.000163752222880852
"SLC16A1",-0.000334173088322467
"LRIG2",2.66745702430349e-05
"MAGI3",0
"PHTF1",0
"RSBN1",0
"PTPN22",-0.00039641375222288
"BCL2L15",0
"AP4B1",0
"DCLRE1B",-2.74155305275636e-05
"HIPK1",0.000975103734439833
"OLFML3",5.77949021932422e-05
"SYT6",-0.00024970361588619
"TRIM33",0.000208209839952578
"BCAS2",-0.000140782454060462
"DENND2C",0.000505334914048606
"AMPD1",-0.000446058091286308
"RN7SL432P",0
"NRAS",0
"CSDE1",0
"SIKE1",-3.03793716656786e-05
"SYCP1",0.000187462951985774
"TSHB",-0.000216360403082394
"TSPAN2",0
"NGF",0.000356401896858328
"RN7SL420P",0
"VANGL1",0
"CASQ2",0.000223029045643154
"NHLH2",0
"SLC22A15",0
"MAB21L3",1.85240071132187e-05
"ATP1A1",0
"ATP1A1OS",0
"CD58",0
"MIR548AC",0
"IGSF3",0
"MIR320B1",0
"C1orf137",0
"CD2",0
"PTGFRN",0
"RNA5SP55",0
"CD101",0
"TTF2",0
"MIR942",-5.18672199170123e-06
"TRIM45",0
"VTCN1",-0.000171161825726142
"MAN1A2",0
"FAM46C",0
"GDAP2",0.000279342027267339
"WDR3",0
"SPAG17",1.55601659751037e-05
"RNA5SP56",0
"TBX15",0
"WARS2",0
"HAO2",0
"HSD3B2",0
"HSD3B1",0
"LINC00622",0
"ZNF697",0
"PHGDH",0.000134854771784232
"HMGCS2",0
"REG4",0
"ADAM30",0
"NOTCH2",0
"ACP6",0
"ANKRD20A12P",0
"ANKRD34A",0
"ANKRD35",0
"BCL9",0
"BOLA1",7.40960284528747e-06
"CD160",-3.48251333728511e-05
"CHD1L",0
"FAM72B",0
"FAM72C",0
"FAM72D",0
"FCGR1A",0
"FCGR1B",0
"FCGR1C",0
"FMO5",0
"GJA5",0
"GJA8",0
"GNRHR2",0
"GPR89A",0
